"post","treated","baci_relaxed","baci_strict","flag","mmsi","year","year_c","month","month_c","date","hours","gear"
FALSE,FALSE,TRUE,TRUE,"KOR",440731000,2012,"2012",9,"9",2012-09-01,714.075138888889,"drifting_longlines"
FALSE,FALSE,TRUE,TRUE,"KOR",440772000,2012,"2012",9,"9",2012-09-01,515.969583333333,"drifting_longlines"
FALSE,FALSE,TRUE,TRUE,"KOR",440885000,2012,"2012",9,"9",2012-09-01,714.755138888889,"drifting_longlines"
FALSE,FALSE,TRUE,TRUE,"KOR",440944000,2012,"2012",9,"9",2012-09-01,496.697083333333,"drifting_longlines"
FALSE,FALSE,TRUE,TRUE,"KOR",440946000,2012,"2012",9,"9",2012-09-01,714.6,"drifting_longlines"
FALSE,FALSE,TRUE,TRUE,"KOR",441072000,2012,"2012",9,"9",2012-09-01,690.0825,"drifting_longlines"
FALSE,FALSE,TRUE,TRUE,"TWN",416238700,2012,"2012",9,"9",2012-09-01,1.20930555555556,"purse_seines"
FALSE,FALSE,TRUE,TRUE,"JPN",432261000,2012,"2012",9,"9",2012-09-01,67.5954166666667,"purse_seines"
FALSE,FALSE,TRUE,TRUE,"MHL",538060007,2012,"2012",9,"9",2012-09-01,24.8758333333333,"purse_seines"
FALSE,FALSE,TRUE,TRUE,"MHL",538060015,2012,"2012",9,"9",2012-09-01,7.71361111111111,"purse_seines"
FALSE,FALSE,TRUE,TRUE,"MHL",538060017,2012,"2012",9,"9",2012-09-01,35.1448611111111,"purse_seines"
FALSE,FALSE,TRUE,TRUE,"ECU",735057587,2012,"2012",9,"9",2012-09-01,44.3659722222222,"purse_seines"
FALSE,FALSE,TRUE,TRUE,"CHN",412420239,2012,"2012",10,"10",2012-10-01,301.523472222222,"drifting_longlines"
FALSE,FALSE,TRUE,TRUE,"CHN",412695630,2012,"2012",10,"10",2012-10-01,582.230833333333,"drifting_longlines"
FALSE,FALSE,TRUE,TRUE,"TWN",416002374,2012,"2012",10,"10",2012-10-01,307.166805555556,"drifting_longlines"
FALSE,FALSE,TRUE,TRUE,"TWN",416004248,2012,"2012",10,"10",2012-10-01,283.830277777778,"drifting_longlines"
FALSE,FALSE,TRUE,TRUE,"JPN",431070000,2012,"2012",10,"10",2012-10-01,408.123055555556,"drifting_longlines"
FALSE,FALSE,TRUE,TRUE,"JPN",431101320,2012,"2012",10,"10",2012-10-01,407.325138888889,"drifting_longlines"
FALSE,FALSE,TRUE,TRUE,"JPN",431206000,2012,"2012",10,"10",2012-10-01,601.050972222222,"drifting_longlines"
FALSE,FALSE,TRUE,TRUE,"JPN",431251000,2012,"2012",10,"10",2012-10-01,620.704305555556,"drifting_longlines"
FALSE,FALSE,TRUE,TRUE,"JPN",431725000,2012,"2012",10,"10",2012-10-01,641.823194444444,"drifting_longlines"
FALSE,FALSE,TRUE,TRUE,"JPN",431798000,2012,"2012",10,"10",2012-10-01,590.201111111111,"drifting_longlines"
FALSE,FALSE,TRUE,TRUE,"KOR",440280000,2012,"2012",10,"10",2012-10-01,517.972916666667,"drifting_longlines"
FALSE,FALSE,TRUE,TRUE,"KOR",440298000,2012,"2012",10,"10",2012-10-01,529.1,"drifting_longlines"
FALSE,FALSE,TRUE,TRUE,"KOR",440731000,2012,"2012",10,"10",2012-10-01,596.379583333333,"drifting_longlines"
FALSE,FALSE,TRUE,TRUE,"KOR",440772000,2012,"2012",10,"10",2012-10-01,695.029861111111,"drifting_longlines"
FALSE,FALSE,TRUE,TRUE,"KOR",440885000,2012,"2012",10,"10",2012-10-01,663.678333333333,"drifting_longlines"
FALSE,FALSE,TRUE,TRUE,"KOR",440944000,2012,"2012",10,"10",2012-10-01,644.444444444444,"drifting_longlines"
FALSE,FALSE,TRUE,TRUE,"KOR",440946000,2012,"2012",10,"10",2012-10-01,631.236527777778,"drifting_longlines"
FALSE,FALSE,TRUE,TRUE,"KOR",441072000,2012,"2012",10,"10",2012-10-01,517.728472222222,"drifting_longlines"
FALSE,FALSE,TRUE,TRUE,"KOR",441584000,2012,"2012",10,"10",2012-10-01,439.642083333333,"drifting_longlines"
FALSE,FALSE,TRUE,TRUE,"USA",367179000,2012,"2012",10,"10",2012-10-01,17.1427777777778,"purse_seines"
FALSE,FALSE,TRUE,TRUE,"TWN",416238700,2012,"2012",10,"10",2012-10-01,33.7863888888889,"purse_seines"
FALSE,FALSE,TRUE,TRUE,"JPN",432261000,2012,"2012",10,"10",2012-10-01,5.62402777777778,"purse_seines"
FALSE,FALSE,TRUE,TRUE,"MHL",538060007,2012,"2012",10,"10",2012-10-01,26.595,"purse_seines"
FALSE,FALSE,TRUE,TRUE,"MHL",538060008,2012,"2012",10,"10",2012-10-01,4.63152777777778,"purse_seines"
FALSE,FALSE,TRUE,TRUE,"MHL",538060015,2012,"2012",10,"10",2012-10-01,2.4525,"purse_seines"
FALSE,FALSE,TRUE,TRUE,"MHL",538060017,2012,"2012",10,"10",2012-10-01,21.7648611111111,"purse_seines"
FALSE,FALSE,TRUE,TRUE,"MHL",538060019,2012,"2012",10,"10",2012-10-01,6.36513888888889,"purse_seines"
