"mmsi","treated","gear","flag"
538060017,FALSE,"purse_seines","MHL"
538060018,TRUE,"purse_seines","MHL"
538060019,FALSE,"purse_seines","MHL"
548831000,TRUE,"purse_seines","PHL"
553111712,TRUE,"purse_seines","PNG"
553111735,FALSE,"purse_seines","PNG"
553111744,TRUE,"purse_seines","PNG"
568169862,FALSE,"drifting_longlines",""
709750116,FALSE,"drifting_longlines",""
735057564,TRUE,"purse_seines","ECU"
735057565,TRUE,"purse_seines","ECU"
735057587,FALSE,"purse_seines","ECU"
735057638,FALSE,"purse_seines","ECU"
735058003,TRUE,"purse_seines","ECU"
735059088,FALSE,"purse_seines","ECU"
